movie_title,review
Joe's Apartment (1996),"Christine F
2 months ago
I found this movie to be delightfully absurd and hilarious.  Definitely not the movie for you if you don't appreciate absurdist humor.  That being said, the way the parts of the movie with the roaches are filmed is fantastic. It scratches the same part of your brain as the ""I Spy"" books, with so much attention to detail on a miniature scale.  This is an underrated gem in my opinion
1 person found this helpful.
Helpful
Unhelpful"
Joe's Apartment (1996),"Stephanie Davis
a year ago
This movie is truly a waste of time, money, and resources. If I could give this movie 0 stars I would. It is very disgusting and it took my IQ down a few points during the almost 2 hours it took to watch the movie. Trying to base a ""cute"" love story around a guy who embraces living with the nastiest bugs in the world in one of the most populated cities and who collects urinal cakes for a living with a girl who is extremely clueless is not my idea of comedy, art, or good use of my time. The only  ...MORE
2 people found this helpful.
Helpful
Unhelpful"
Joe's Apartment (1996),"kenneth minear
3 years ago
roach musical thats it. it may hit you in a funny state of mind. guy from iowa arrives in NYC and to his luck he manages to get a apartment in a bad neighborhood where the building is set up for demolition he fights that makes 30,000 new friends in his new place ans scores a girlfriend. disgusting but friendly, pleasant and good for a few beers and pizza. a 7 out of 10.
3 people found this helpful.
Helpful
Unhelpful"
Joe's Apartment (1996),"Jack Morris
a year ago
Joe's Apartment looked promising, sitting there on the Blockbuster shelf, way back in 1997.  The short film from MTV, on which it was based, seemed funny enough.  I remember renting it, taking it to a friend's house to watch, and not being able to get through a half hour of it.  It remains the only VHS rental tape of which I took back and demanded a refund.  But, hey, it's been over 25 years, maybe I'm being too hard on it.  Perhaps I was in a bad mood that night.  Maybe I'll give it another sho ...MORE
Was this review helpful to you?
Helpful
Unhelpful"
Joe's Apartment (1996),"Kim Gallardo
2 years ago
yo. um. I have no words. this movie is an actual homeless fever dream and I wouldn’t trade the experience for anything but I wouldn’t watch it again. Cowboy roach rides a cat and they have a beautiful musical number involving a toilet and a towel. Ok. Thats my thing. Would recommend!
10 people found this helpful.
Helpful
Unhelpful"
Joe's Apartment (1996),"Benjamin Reis
6 months ago
Giving it a 4 cuz I remember it being funny and good. Trying to get my fiancee who is deathly afraid of roaches to watch it so I can watch again. If it's good and it cures her of her irrational fear I'll come back and give it a 5. If she don't like it...I'll probably end up roach food.
1 person found this helpful.
Helpful
Unhelpful"
Joe's Apartment (1996),"sweater biscuit
a month ago
Went in blind with a fear of insects and loved this movie to death already want to rewatch it I love the roaches they are so funny and the music is great it's such a silly undserious movie great for a fun time
Was this review helpful to you?
Helpful
Unhelpful"
Joe's Apartment (1996),"Anthony Johnson
a year ago
1996. One of the last years where a rich person could be tripping balls off acid, talk to a roach, then proceed to make a movie. This should have been the director's last movie if it went to the theaters, and he or she should be known as ""That Roach Guy"" forevermore.
Was this review helpful to you?
Helpful
Unhelpful"
Joe's Apartment (1996),"call me Mr G G
a year ago
Loved it...there is à ""Hidden meaning"" if u think beyond the comedy...Great songs...esp the gospel..yes I said GOSPEL...great escapism ...just sit back & hàve a good time..
7 people found this helpful.
Helpful
Unhelpful"
Joe's Apartment (1996),"Milton Troy, IV
4 years ago
This is a movie if you were to take bath salts, cocaine and LSD for  an hour and half and then realize you could be doing something better in your life. In other words, Joe's Apartment is a waste of time.
2 people found this helpful.
Helpful
Unhelpful"
